465.0,155.0,28.0,138.0,4000.0,-2504.0,1341.0,-529.0
342.0,164.0,-6.0,120.0,4000.0,-1330.0,1353.0,-586.0
48.0,168.0,-246.0,101.0,4000.0,-789.0,1667.0,-594.0
-123.0,190.0,-448.0,215.0,4000.0,-586.0,2309.0,-665.0
118.0,146.0,-599.0,269.0,4000.0,-988.0,2579.0,-866.0
175.0,117.0,-328.0,313.0,4000.0,-1183.0,2440.0,-846.0
204.0,103.0,-291.0,329.0,4000.0,-1447.0,1605.0,-809.0
275.0,99.0,-380.0,276.0,4000.0,-1764.0,954.0,-804.0
172.0,70.0,-393.0,248.0,4000.0,-2063.0,889.0,-805.0
125.0,67.0,-552.0,199.0,4000.0,-1850.0,116.0,-818.0
24.0,70.0,-523.0,246.0,4000.0,-2481.0,-1962.0,-748.0
-12.0,92.0,-507.0,189.0,4000.0,-3657.0,-3837.0,-730.0
-62.0,65.0,-376.0,244.0,4000.0,-2119.0,-4000.0,-605.0
-73.0,44.0,-356.0,341.0,-782.0,160.0,-4000.0,-549.0
-96.0,93.0,-465.0,381.0,-4000.0,887.0,-4000.0,-325.0
-146.0,110.0,-365.0,376.0,-4000.0,1531.0,-4000.0,-99.0
-157.0,79.0,-225.0,276.0,-4000.0,1656.0,-4000.0,-213.0
-222.0,38.0,-147.0,210.0,-4000.0,988.0,-4000.0,-34.0
-234.0,62.0,-306.0,88.0,-4000.0,592.0,-2185.0,148.0
-186.0,0.0,-292.0,-13.0,-4000.0,480.0,608.0,-166.0
-142.0,-42.0,-166.0,-100.0,-4000.0,119.0,1149.0,-370.0
-136.0,-65.0,-96.0,-200.0,-4000.0,-371.0,1033.0,-528.0
-114.0,-83.0,187.0,-208.0,-4000.0,-526.0,297.0,-606.0
-96.0,-99.0,190.0,-241.0,-4000.0,-358.0,-138.0,-525.0
-89.0,-72.0,169.0,-284.0,-4000.0,-327.0,-345.0,-523.0
-67.0,-57.0,382.0,-226.0,-4000.0,-620.0,-533.0,-492.0
-125.0,-53.0,524.0,-194.0,-4000.0,-1107.0,-308.0,-442.0
-280.0,-23.0,826.0,-166.0,-4000.0,-1383.0,-305.0,-362.0
-261.0,-31.0,785.0,-137.0,-4000.0,-1487.0,-149.0,-297.0
-36.0,21.0,101.0,-167.0,-4000.0,-1330.0,-157.0,-175.0
52.0,-54.0,-189.0,-206.0,-4000.0,-750.0,8.0,-46.0
139.0,-98.0,-186.0,-148.0,-4000.0,-11.0,78.0,23.0
169.0,-80.0,-316.0,-81.0,-4000.0,293.0,101.0,10.0
70.0,-77.0,-320.0,-109.0,-3655.0,380.0,243.0,-35.0
49.0,-36.0,-415.0,-110.0,-1918.0,571.0,331.0,44.0
30.0,-12.0,-442.0,-59.0,-360.0,771.0,376.0,184.0
20.0,62.0,-194.0,-26.0,1091.0,1018.0,416.0,228.0
-16.0,62.0,-354.0,-12.0,2425.0,1163.0,506.0,163.0
-13.0,51.0,-572.0,92.0,3679.0,1508.0,557.0,274.0
-5.0,41.0,-446.0,174.0,4000.0,1531.0,563.0,406.0
20.0,34.0,-425.0,211.0,4000.0,1572.0,470.0,239.0
25.0,25.0,-263.0,324.0,4000.0,1919.0,543.0,273.0
13.0,21.0,-99.0,335.0,4000.0,2031.0,497.0,393.0
